image_name,model_name,dice_score
cropped_image_2685,binrushed_persite,0.984988808631897
cropped_image_1554,binrushed_persite,0.8920233845710754
cropped_image_2827,binrushed_persite,0.9485296010971068
cropped_image_2085,binrushed_persite,0.8453761339187622
cropped_image_1742,binrushed_persite,0.968323051929474
cropped_image_2512,binrushed_persite,0.9734854102134703
cropped_image_2528,binrushed_persite,0.9640098810195924
cropped_image_1088,binrushed_persite,0.966942012310028
cropped_image_226,binrushed_persite,0.9319368600845336
cropped_image_3022,binrushed_persite,0.9174673557281494
cropped_image_2654,binrushed_persite,0.9736968874931335
cropped_image_2164,binrushed_persite,0.9617365598678588
cropped_image_337,binrushed_persite,0.9698261618614196
cropped_image_1366,binrushed_persite,0.9563249349594116
cropped_image_125,binrushed_persite,0.896327555179596
cropped_image_1225,binrushed_persite,0.9727814197540284
cropped_image_3168,binrushed_persite,0.968674659729004
cropped_image_193,binrushed_persite,0.971800982952118
cropped_image_3058,binrushed_persite,0.9628024101257324
cropped_image_1139,binrushed_persite,0.8615014553070068
cropped_image_223,binrushed_persite,0.983612060546875
cropped_image_3184,binrushed_persite,0.9276348352432252
cropped_image_2711,binrushed_persite,0.9161103963851928
cropped_image_2901,binrushed_persite,0.9054733514785768
cropped_image_265,binrushed_persite,0.9816901087760924
cropped_image_483,binrushed_persite,0.9666152596473694
cropped_image_916,binrushed_persite,0.9674376249313354
cropped_image_1230,binrushed_persite,0.8945265412330627
cropped_image_2687,binrushed_persite,0.933589518070221
cropped_image_2736,binrushed_persite,0.9232614040374756
cropped_image_1333,binrushed_persite,0.9422189593315125
cropped_image_964,binrushed_persite,0.9817519187927246
cropped_image_981,binrushed_persite,0.9424163699150084
cropped_image_2041,binrushed_persite,0.9703343510627748
cropped_image_1912,binrushed_persite,0.9236634373664856
cropped_image_878,binrushed_persite,0.9764968156814576
cropped_image_2362,binrushed_persite,0.9173435568809508
cropped_image_769,binrushed_persite,0.8941311836242676
cropped_image_1360,binrushed_persite,0.9113161563873292
cropped_image_3199,binrushed_persite,0.9567945599555968
cropped_image_806,binrushed_persite,0.9158257246017456
cropped_image_2694,binrushed_persite,0.9188230037689208
cropped_image_2141,binrushed_persite,0.9726088047027588
cropped_image_1843,binrushed_persite,0.9550251960754396
cropped_image_1508,binrushed_persite,0.9282375574111938
cropped_image_2424,binrushed_persite,0.9811338782310486
cropped_image_48,binrushed_persite,0.9745823740959167
cropped_image_1160,binrushed_persite,0.9640348553657532
cropped_image_328,binrushed_persite,0.9398513436317444
