Model_A,Model_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,Wilcoxon_Stat,Raw_p,Corrected_p,Reject_Null,Better_Model,Significant_Winner
binrushed_fl_finetuned,binrushed_persite,0.9780420859654745,0.9669954016804695,0.9787686169147491,0.9700463116168976,0.006415208637647943,0.011125378043040517,166.0,1.171070700867393e-19,2.705173319003678e-17,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,central,0.9780420859654745,0.9882284979025523,0.9787686169147491,0.9900039732456207,0.006415208637647943,0.007044156688796666,325.0,4.913480538441772e-18,1.1350140043800493e-15,True,central,central
binrushed_fl_finetuned,chaksu_fl_finetuned,0.9780420859654745,0.9838845327496528,0.9787686169147491,0.9848329424858093,0.006415208637647943,0.005312557741891982,429.0,5.1595481303219136e-17,1.191855618104362e-14,True,chaksu_fl_finetuned,chaksu_fl_finetuned
binrushed_fl_finetuned,chaksu_persite,0.9780420859654745,0.9808024982611339,0.9787686169147491,0.9819461107254028,0.006415208637647943,0.005865240054203497,1939.0,9.488651995324232e-06,0.0021918786109198975,True,chaksu_persite,chaksu_persite
binrushed_fl_finetuned,drishti_fl_finetuned,0.9780420859654745,0.9843885789314906,0.9787686169147491,0.9852814376354218,0.006415208637647943,0.00571123773876587,256.0,9.91496883705752e-19,2.290357801360287e-16,True,drishti_fl_finetuned,drishti_fl_finetuned
binrushed_fl_finetuned,drishti_persite,0.9780420859654745,0.9649303456147512,0.9787686169147491,0.9680138528347015,0.006415208637647943,0.013274815877476972,151.0,8.159177992732402e-20,1.8847701163211848e-17,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,g1020_fl_finetuned,0.9780420859654745,0.9819499438007673,0.9787686169147491,0.9827429354190826,0.006415208637647943,0.006202913913114661,721.0,2.5705784741636413e-14,5.938036275318011e-12,True,g1020_fl_finetuned,g1020_fl_finetuned
binrushed_fl_finetuned,g1020_persite,0.9780420859654745,0.981596939265728,0.9787686169147491,0.9828196465969086,0.006415208637647943,0.006175394691065489,1274.0,6.826598381786018e-10,1.57694422619257e-07,True,g1020_persite,g1020_persite
binrushed_fl_finetuned,magrabi_fl_finetuned,0.9780420859654745,0.9787576903899511,0.9787686169147491,0.9789882004261018,0.006415208637647943,0.006392469140114201,2655.0,0.010667771147993792,1.0,False,magrabi_fl_finetuned,None
binrushed_fl_finetuned,magrabi_persite,0.9780420859654745,0.9567725489536921,0.9787686169147491,0.9611283838748932,0.006415208637647943,0.014800239482306634,3.0,2.126529093599547e-21,4.912282206214953e-19,True,binrushed_fl_finetuned,binrushed_fl_finetuned
