Model_A,Model_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,Wilcoxon_Stat,Raw_p,Corrected_p,Reject_Null,Better_Model,Significant_Winner
binrushed_fl_finetuned,binrushed_persite,0.9842595797318678,0.9632177398755,0.9851669669151306,0.9679794311523438,0.005659015151180513,0.01510317230994016,0.0,2.4051050298460756e-12,5.555792618944434e-10,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,central,0.9842595797318678,0.9946562143472525,0.9851669669151306,0.9948018193244934,0.005659015151180513,0.0009132049140609883,0.0,2.4051050298460756e-12,5.555792618944434e-10,True,central,central
binrushed_fl_finetuned,chaksu_fl_finetuned,0.9842595797318678,0.9813999377764189,0.9851669669151306,0.981858253479004,0.005659015151180513,0.004042711138749139,311.0,6.479322945561176e-07,0.00014967236004246316,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,chaksu_persite,0.9842595797318678,0.9737992011583768,0.9851669669151306,0.9746993780136108,0.005659015151180513,0.005439288934610508,6.0,3.180489022442745e-12,7.346929641842741e-10,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,drishti_fl_finetuned,0.9842595797318678,0.985887364240793,0.9851669669151306,0.9856703877449036,0.005659015151180513,0.003809251187221077,603.0,0.0021538676546531137,0.49754342822486924,False,drishti_fl_finetuned,None
binrushed_fl_finetuned,drishti_persite,0.9842595797318678,0.9504071400715755,0.9851669669151306,0.9531769156455994,0.005659015151180513,0.015858429477347447,0.0,2.4051050298460756e-12,5.555792618944434e-10,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,g1020_fl_finetuned,0.9842595797318678,0.9825963176213778,0.9851669669151306,0.9830682873725892,0.005659015151180513,0.005288679520064992,448.0,4.482934774870542e-05,0.010355579329950952,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,g1020_persite,0.9842595797318678,0.9838496685028076,0.9851669669151306,0.983760416507721,0.005659015151180513,0.004098973473293586,950.0,0.423403998656269,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,magrabi_fl_finetuned,0.9842595797318678,0.9817771141345685,0.9851669669151306,0.9817498922348022,0.005659015151180513,0.0057214650206978135,137.0,9.751064916618386e-10,2.252495995738847e-07,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,magrabi_persite,0.9842595797318678,0.9657277483206529,0.9851669669151306,0.9681147933006288,0.005659015151180513,0.015056620172134239,1.0,2.520032881866689e-12,5.821275957112051e-10,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,messidor_fl_finetuned,0.9842595797318678,0.9835384286366976,0.9851669669151306,0.9844093322753906,0.005659015151180513,0.0060613302004275645,655.0,0.006365479020837648,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,messidor_persite,0.9842595797318678,0.9829854002365699,0.9851669669151306,0.9839962124824524,0.005659015151180513,0.005140401578053044,631.0,0.003911971761679143,0.903665476947882,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,origa_fl_finetuned,0.9842595797318678,0.9961518562757052,0.9851669669151306,0.9963258504867554,0.005659015151180513,0.0007245528814072048,0.0,2.4051050298460756e-12,5.555792618944434e-10,True,origa_fl_finetuned,origa_fl_finetuned
binrushed_fl_finetuned,origa_persite,0.9842595797318678,0.994943289573376,0.9851669669151306,0.9949913024902344,0.005659015151180513,0.0008822096415256195,0.0,2.4051050298460756e-12,5.555792618944434e-10,True,origa_persite,origa_persite
binrushed_fl_finetuned,pipeline1,0.9842595797318678,0.9813434197352483,0.9851669669151306,0.9818729162216188,0.005659015151180513,0.0036698244188676584,462.0,6.619086144484855e-05,0.015290088993760014,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,pipeline2,0.9842595797318678,0.9863816417180575,0.9851669669151306,0.9864201545715332,0.005659015151180513,0.0025662189898858338,610.0,0.0025077244793206325,0.579284354723066,False,pipeline2,None
binrushed_fl_finetuned,pipeline3,0.9842595797318678,0.9868569108156058,0.9851669669151306,0.9867610335350036,0.005659015151180513,0.003690562985095177,212.0,1.873303169360303e-08,4.3273303212223e-06,True,pipeline3,pipeline3
