Model_A,Model_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,Wilcoxon_Stat,Raw_p,Corrected_p,Reject_Null,Better_Model,Significant_Winner
binrushed_fl_finetuned,binrushed_persite,0.9853694011335787,0.9768623878126559,0.986312747001648,0.9801724851131439,0.004032855525548459,0.014880982909447522,8.0,7.105427357601002e-13,1.6413537196058314e-10,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,central,0.9853694011335787,0.9850172866945681,0.986312747001648,0.9859924018383026,0.004032855525548459,0.004203616092303557,438.0,0.2678875678517443,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,chaksu_fl_finetuned,0.9853694011335787,0.98129937571028,0.986312747001648,0.9824247360229492,0.004032855525548459,0.005134681564840583,83.0,3.0461023925454356e-08,7.036496526779956e-06,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,chaksu_persite,0.9853694011335787,0.9767560246198074,0.986312747001648,0.9776167869567871,0.004032855525548459,0.006534836752485137,9.0,9.379164112033322e-13,2.1665869098796975e-10,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,drishti_fl_finetuned,0.9853694011335787,0.982281303924063,0.986312747001648,0.9840337634086609,0.004032855525548459,0.00538315496738457,98.0,1.1734417171282985e-07,2.7106503665663695e-05,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,drishti_persite,0.9853694011335787,0.9683356285095215,0.986312747001648,0.9706060588359833,0.004032855525548459,0.019771334265972267,1.0,5.684341886080802e-14,1.3130829756846651e-11,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,g1020_fl_finetuned,0.9853694011335787,0.9840407293775807,0.986312747001648,0.986002802848816,0.004032855525548459,0.00499764305995372,292.0,0.005935803350496371,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,g1020_persite,0.9853694011335787,0.9814535599687825,0.986312747001648,0.981938362121582,0.004032855525548459,0.005403547322441067,60.0,2.8878730518044904e-09,6.670986749668373e-07,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,magrabi_fl_finetuned,0.9853694011335787,0.9844351708889008,0.986312747001648,0.9855403006076814,0.004032855525548459,0.004504349699881671,260.0,0.0017462899088798167,0.40339296895123766,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,magrabi_persite,0.9853694011335787,0.9722250479718914,0.986312747001648,0.9785465002059937,0.004032855525548459,0.017754753103910517,1.0,5.684341886080802e-14,1.3130829756846651e-11,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,messidor_fl_finetuned,0.9853694011335787,0.9859730769758639,0.986312747001648,0.9872214198112488,0.004032855525548459,0.004509204439450928,281.0,0.003970228367791151,0.9171227529597559,False,messidor_fl_finetuned,None
binrushed_fl_finetuned,messidor_persite,0.9853694011335787,0.9841576620288517,0.986312747001648,0.9843530058860779,0.004032855525548459,0.004667377483484547,274.0,0.00304354154155817,0.7030580960999373,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,origa_fl_finetuned,0.9853694011335787,0.9764919358751049,0.986312747001648,0.978079617023468,0.004032855525548459,0.007835294253608412,28.0,4.214939508528914e-11,9.736510264701792e-09,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,origa_persite,0.9853694011335787,0.9755881972934889,0.986312747001648,0.9779234528541565,0.004032855525548459,0.007901057943697755,16.0,4.803268893738277e-12,1.109555114453542e-09,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,pipeline1,0.9853694011335787,0.9811552348344222,0.986312747001648,0.9818401634693146,0.004032855525548459,0.005615540914352827,73.0,1.1483592743388726e-08,2.652709923722796e-06,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,pipeline2,0.9853694011335787,0.9803667055523914,0.986312747001648,0.981028288602829,0.004032855525548459,0.005845574680447714,68.0,6.864610213597189e-09,1.5857249593409506e-06,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,pipeline3,0.9853694011335787,0.9833528801150944,0.986312747001648,0.9848418533802032,0.004032855525548459,0.005394044231865111,224.0,0.00035743751428185533,0.08256806579910858,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,refuge_fl_finetuned,0.9853694011335787,0.9794449741425721,0.986312747001648,0.980692058801651,0.004032855525548459,0.006430320656204147,55.0,1.6311787476297468e-09,3.768022907024715e-07,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,refuge_persite,0.9853694011335787,0.9792840247568877,0.986312747001648,0.9803449213504791,0.004032855525548459,0.0062544737535504165,55.0,1.6311787476297468e-09,3.768022907024715e-07,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,rimone_fl_finetuned,0.9853694011335787,0.9839659825615261,0.986312747001648,0.9853406548500061,0.004032855525548459,0.005127021214873346,279.0,0.003682807848832681,0.8507286130803493,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,rimone_persite,0.9853694011335787,0.980657283378684,0.986312747001648,0.9818187355995178,0.004032855525548459,0.006317298065915209,65.0,4.993523816665402e-09,1.1535040016497078e-06,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_persite,central,0.9768623878126559,0.9850172866945681,0.9801724851131439,0.9859924018383026,0.014880982909447522,0.004203616092303557,38.0,1.8764012565952726e-10,4.3344869027350796e-08,True,central,central
binrushed_persite,chaksu_fl_finetuned,0.9768623878126559,0.98129937571028,0.9801724851131439,0.9824247360229492,0.014880982909447522,0.005134681564840583,348.0,0.035057676367273416,1.0,False,chaksu_fl_finetuned,None
binrushed_persite,chaksu_persite,0.9768623878126559,0.9767560246198074,0.9801724851131439,0.9776167869567871,0.014880982909447522,0.006534836752485137,422.0,0.19932208563912468,1.0,False,binrushed_persite,None
binrushed_persite,drishti_fl_finetuned,0.9768623878126559,0.982281303924063,0.9801724851131439,0.9840337634086609,0.014880982909447522,0.00538315496738457,250.0,0.0011507166022113324,0.2658155351108178,False,drishti_fl_finetuned,None
binrushed_persite,drishti_persite,0.9768623878126559,0.9683356285095215,0.9801724851131439,0.9706060588359833,0.014880982909447522,0.019771334265972267,46.0,5.445883743959712e-10,1.2579991448546934e-07,True,binrushed_persite,binrushed_persite
binrushed_persite,g1020_fl_finetuned,0.9768623878126559,0.9840407293775807,0.9801724851131439,0.986002802848816,0.014880982909447522,0.00499764305995372,118.0,5.945948089447484e-07,0.00013735140086623687,True,g1020_fl_finetuned,g1020_fl_finetuned
binrushed_persite,g1020_persite,0.9768623878126559,0.9814535599687825,0.9801724851131439,0.981938362121582,0.014880982909447522,0.005403547322441067,308.0,0.010313172218843647,1.0,False,g1020_persite,None
binrushed_persite,magrabi_fl_finetuned,0.9768623878126559,0.9844351708889008,0.9801724851131439,0.9855403006076814,0.014880982909447522,0.004504349699881671,58.0,2.3048301045491826e-09,5.324157541508612e-07,True,magrabi_fl_finetuned,magrabi_fl_finetuned
binrushed_persite,magrabi_persite,0.9768623878126559,0.9722250479718914,0.9801724851131439,0.9785465002059937,0.014880982909447522,0.017754753103910517,190.0,6.310223764671719e-05,0.01457661689639167,True,binrushed_persite,binrushed_persite
binrushed_persite,messidor_fl_finetuned,0.9768623878126559,0.9859730769758639,0.9801724851131439,0.9872214198112488,0.014880982909447522,0.004509204439450928,3.0,1.4210854715202004e-13,3.282707439211663e-11,True,messidor_fl_finetuned,messidor_fl_finetuned
binrushed_persite,messidor_persite,0.9768623878126559,0.9841576620288517,0.9801724851131439,0.9843530058860779,0.014880982909447522,0.004667377483484547,48.0,7.00822511134902e-10,1.6189000007216237e-07,True,messidor_persite,messidor_persite
binrushed_persite,origa_fl_finetuned,0.9768623878126559,0.9764919358751049,0.9801724851131439,0.978079617023468,0.014880982909447522,0.007835294253608412,410.0,0.15687649782503854,1.0,False,binrushed_persite,None
binrushed_persite,origa_persite,0.9768623878126559,0.9755881972934889,0.9801724851131439,0.9779234528541565,0.014880982909447522,0.007901057943697755,356.0,0.04365686608718988,1.0,False,binrushed_persite,None
binrushed_persite,pipeline1,0.9768623878126559,0.9811552348344222,0.9801724851131439,0.9818401634693146,0.014880982909447522,0.005615540914352827,341.0,0.028741241220473057,1.0,False,pipeline1,None
binrushed_persite,pipeline2,0.9768623878126559,0.9803667055523914,0.9801724851131439,0.981028288602829,0.014880982909447522,0.005845574680447714,411.0,0.16013347692305047,1.0,False,pipeline2,None
