image_name,model_name,dice_score
cropped_r2_Im232,binrushed_persite,0.6103882193565369
cropped_r3_N-43-L_left_half,binrushed_persite,0.7994073629379272
cropped_r3_N-44-R_left_half,binrushed_persite,0.6771098375320435
cropped_r3_S-31-L_left_half,binrushed_persite,0.8829473257064819
cropped_r3_S-2-L_left_half,binrushed_persite,0.9066967368125916
cropped_r2_Im407,binrushed_persite,0.8042466640472412
cropped_r2_Im324,binrushed_persite,0.5988775491714478
cropped_r2_Im034,binrushed_persite,0.6416541337966919
cropped_r2_Im388,binrushed_persite,0.4065613746643066
cropped_r2_Im319,binrushed_persite,0.6353317499160767
cropped_r2_Im270,binrushed_persite,0.9516189098358154
cropped_r1_Im129,binrushed_persite,0.7282336354255676
cropped_r3_S-25-L_left_half,binrushed_persite,0.8897585868835449
cropped_r3_G-38-L_left_half,binrushed_persite,0.8061146140098572
cropped_r2_Im074,binrushed_persite,0.7562894225120544
cropped_r3_N-81-L_left_half,binrushed_persite,0.8841071128845215
cropped_r2_Im019,binrushed_persite,0.558052659034729
cropped_r3_N-56-R_left_half,binrushed_persite,0.8917450904846191
cropped_r2_Im305,binrushed_persite,0.8933865427970886
cropped_r2_Im230,binrushed_persite,0.1696696728467941
cropped_r2_Im403,binrushed_persite,0.8870408535003662
cropped_r3_N-65-L_left_half,binrushed_persite,0.5398162603378296
cropped_r2_Im098,binrushed_persite,0.4367847144603729
cropped_r2_Im357,binrushed_persite,0.740783154964447
cropped_r3_N-59-L_left_half,binrushed_persite,0.510485827922821
cropped_r1_Im008,binrushed_persite,0.7976363897323608
cropped_r3_S-18-L_left_half,binrushed_persite,0.9434034824371338
cropped_r2_Im393,binrushed_persite,0.7126072645187378
cropped_r2_Im118,binrushed_persite,0.6734791398048401
cropped_r2_Im040,binrushed_persite,0.5759677886962891
cropped_r2_Im132,binrushed_persite,0.5920401215553284
cropped_r1_Im069,binrushed_persite,0.6970899701118469
cropped_r2_Im005,binrushed_persite,0.5903409123420715
cropped_r3_N-76-R_left_half,binrushed_persite,0.3305504918098449
cropped_r2_Im257,binrushed_persite,0.5622666478157043
cropped_r3_N-70-R_left_half,binrushed_persite,0.3275096714496612
cropped_r3_S-35-R_left_half,binrushed_persite,0.9421197175979614
cropped_r1_Im062,binrushed_persite,0.8403744101524353
cropped_r3_G-33-R_left_half,binrushed_persite,0.8903568387031555
cropped_r2_Im351,binrushed_persite,0.6889826059341431
cropped_r2_Im356,binrushed_persite,0.7408207058906555
cropped_r2_Im003,binrushed_persite,0.7946777939796448
cropped_r3_N-72-R_left_half,binrushed_persite,0.8388662338256836
cropped_r1_Im014,binrushed_persite,0.9236980676651
cropped_r2_Im014,binrushed_persite,0.5769383311271667
cropped_r2_Im044,binrushed_persite,0.6879522800445557
cropped_r2_Im130,binrushed_persite,0.7595644593238831
cropped_r3_G-37-R_left_half,binrushed_persite,0.5380091071128845
cropped_r2_Im428,binrushed_persite,0.8951741456985474
cropped_r2_Im232,pipeline1,0.6796594262123108
