image_name,model_name,dice_score
cropped_308,binrushed_persite,0.832042396068573
cropped_506,binrushed_persite,0.7081820368766785
cropped_310,binrushed_persite,0.89439457654953
cropped_103,binrushed_persite,0.8876600861549377
cropped_124,binrushed_persite,0.3984841406345367
cropped_179,binrushed_persite,0.9446811079978944
cropped_197,binrushed_persite,0.8422529101371765
cropped_140,binrushed_persite,0.9117022156715392
cropped_229,binrushed_persite,0.6218005418777466
cropped_030,binrushed_persite,0.8456493020057678
cropped_089,binrushed_persite,0.9370471239089966
cropped_333,binrushed_persite,0.615287721157074
cropped_256,binrushed_persite,0.927588939666748
cropped_181,binrushed_persite,0.6046435832977295
cropped_609,binrushed_persite,0.901990532875061
cropped_610,binrushed_persite,0.885361909866333
cropped_431,binrushed_persite,0.9040284752845764
cropped_381,binrushed_persite,0.8562754988670349
cropped_236,binrushed_persite,0.7526490092277527
cropped_571,binrushed_persite,0.7160290479660034
cropped_445,binrushed_persite,0.8763937950134277
cropped_394,binrushed_persite,0.8584285974502563
cropped_128,binrushed_persite,0.7118130922317505
cropped_183,binrushed_persite,0.573096513748169
cropped_006,binrushed_persite,0.919419527053833
cropped_035,binrushed_persite,0.8291901350021362
cropped_575,binrushed_persite,0.8916205763816833
cropped_359,binrushed_persite,0.6535426378250122
cropped_443,binrushed_persite,0.8477880954742432
cropped_323,binrushed_persite,0.7687656879425049
cropped_021,binrushed_persite,0.6830896735191345
cropped_287,binrushed_persite,0.8607889413833618
cropped_375,binrushed_persite,0.917701780796051
cropped_555,binrushed_persite,0.8328539133071899
cropped_070,binrushed_persite,0.8763724565505981
cropped_119,binrushed_persite,0.8266230821609497
cropped_113,binrushed_persite,0.708523690700531
cropped_611,binrushed_persite,0.8482598066329956
cropped_528,binrushed_persite,0.910503387451172
cropped_325,binrushed_persite,0.8015817403793335
cropped_428,binrushed_persite,0.853699803352356
cropped_560,binrushed_persite,0.4886649549007416
cropped_318,binrushed_persite,0.892001748085022
cropped_566,binrushed_persite,0.8540259599685669
cropped_470,binrushed_persite,0.9211501479148864
cropped_634,binrushed_persite,0.9255101680755616
cropped_580,binrushed_persite,0.8442507982254028
cropped_349,binrushed_persite,0.8072416186332703
cropped_353,binrushed_persite,0.9583494663238524
cropped_490,binrushed_persite,0.9614959955215454
cropped_554,binrushed_persite,0.6565655469894409
cropped_059,binrushed_persite,0.8392065763473511
cropped_475,binrushed_persite,0.6232126951217651
cropped_002,binrushed_persite,0.8956608772277832
cropped_515,binrushed_persite,0.665903627872467
cropped_538,binrushed_persite,0.8159492611885071
cropped_456,binrushed_persite,0.9622531533241272
cropped_010,binrushed_persite,0.926603376865387
cropped_615,binrushed_persite,0.8369898200035095
cropped_578,binrushed_persite,0.7553213238716125
cropped_380,binrushed_persite,0.8818760514259338
cropped_311,binrushed_persite,0.7884954810142517
cropped_650,binrushed_persite,0.85439133644104
cropped_147,binrushed_persite,0.8583229184150696
cropped_388,binrushed_persite,0.8829011917114258
cropped_308,pipeline1,0.920719563961029
cropped_506,pipeline1,0.92927086353302
cropped_310,pipeline1,0.931391417980194
cropped_103,pipeline1,0.9121356010437012
cropped_124,pipeline1,0.4160503447055816
cropped_179,pipeline1,0.9043954610824584
cropped_197,pipeline1,0.932942807674408
cropped_140,pipeline1,0.9087185263633728
cropped_229,pipeline1,0.8252163529396057
cropped_030,pipeline1,0.9051380753517152
cropped_089,pipeline1,0.9108487367630004
cropped_333,pipeline1,0.645210862159729
cropped_256,pipeline1,0.9298611879348756
cropped_181,pipeline1,0.9087613821029664
cropped_609,pipeline1,0.8838372826576233
cropped_610,pipeline1,0.9304124116897584
cropped_431,pipeline1,0.9183841943740844
cropped_381,pipeline1,0.9522486329078674
cropped_236,pipeline1,0.7444066405296326
cropped_571,pipeline1,0.9617239236831664
cropped_445,pipeline1,0.9478798508644104
cropped_394,pipeline1,0.9241949915885924
cropped_128,pipeline1,0.800068736076355
cropped_183,pipeline1,0.8412596583366394
cropped_006,pipeline1,0.9174204468727112
cropped_035,pipeline1,0.848944902420044
cropped_575,pipeline1,0.834633469581604
cropped_359,pipeline1,0.7761796116828918
cropped_443,pipeline1,0.9281783103942872
cropped_323,pipeline1,0.8801085352897644
cropped_021,pipeline1,0.7611218690872192
cropped_287,pipeline1,0.908129334449768
cropped_375,pipeline1,0.9379976987838744
cropped_555,pipeline1,0.9293609857559204
cropped_070,pipeline1,0.9577038884162904
cropped_119,pipeline1,0.8628103137016296
cropped_113,pipeline1,0.8401490449905396
cropped_611,pipeline1,0.8323087096214294
cropped_528,pipeline1,0.9203532934188844
cropped_325,pipeline1,0.875010073184967
cropped_428,pipeline1,0.905618131160736
cropped_560,pipeline1,0.6658263802528381
cropped_318,pipeline1,0.9332457780838012
cropped_566,pipeline1,0.8548393845558167
cropped_470,pipeline1,0.9106014966964722
cropped_634,pipeline1,0.850639283657074
cropped_580,pipeline1,0.9135435819625854
cropped_349,pipeline1,0.953751504421234
cropped_353,pipeline1,0.9692678451538086
cropped_490,pipeline1,0.9500170946121216
cropped_554,pipeline1,0.8339043259620667
cropped_059,pipeline1,0.8927323818206787
cropped_475,pipeline1,0.9127744436264038
cropped_002,pipeline1,0.9607303738594056
cropped_515,pipeline1,0.8990433812141418
cropped_538,pipeline1,0.9020096063613892
cropped_456,pipeline1,0.9072139859199524
cropped_010,pipeline1,0.8919515609741211
cropped_615,pipeline1,0.9090117812156676
cropped_578,pipeline1,0.9441667795181274
cropped_380,pipeline1,0.8819252252578735
cropped_311,pipeline1,0.8324567675590515
cropped_650,pipeline1,0.8938173055648804
cropped_147,pipeline1,0.7672421336174011
cropped_388,pipeline1,0.9026584029197692
