Model_A,Model_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,Wilcoxon_Stat,Raw_p,Corrected_p,Reject_Null,Better_Model,Significant_Winner
binrushed_fl_finetuned,binrushed_persite,0.9101500451564789,0.8521483719348908,0.939195156097412,0.8888274431228638,0.06351777688259633,0.10094082547129016,2.0,0.005859375,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,central,0.9101500451564789,0.9266114950180053,0.939195156097412,0.9358182847499847,0.06351777688259633,0.05135214765783128,11.0,0.10546875,1.0,False,central,None
binrushed_fl_finetuned,chaksu_fl_finetuned,0.9101500451564789,0.8764322459697723,0.939195156097412,0.8827094733715057,0.06351777688259633,0.0868465216209143,10.0,0.083984375,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,chaksu_persite,0.9101500451564789,0.874583625793457,0.939195156097412,0.8862220644950867,0.06351777688259633,0.07943868819041908,8.0,0.048828125,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,drishti_fl_finetuned,0.9101500451564789,0.8872509241104126,0.939195156097412,0.9083861112594604,0.06351777688259633,0.05972408893755521,13.0,0.16015625,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,drishti_persite,0.9101500451564789,0.7264192938804627,0.939195156097412,0.7724093496799469,0.06351777688259633,0.10034588091816288,0.0,0.001953125,0.451171875,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,g1020_fl_finetuned,0.9101500451564789,0.882040935754776,0.939195156097412,0.8796414434909821,0.06351777688259633,0.03984522136735768,10.0,0.083984375,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,g1020_persite,0.9101500451564789,0.8896901249885559,0.939195156097412,0.8925342559814453,0.06351777688259633,0.04592879295618745,14.0,0.193359375,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,magrabi_fl_finetuned,0.9101500451564789,0.9302805721759796,0.939195156097412,0.9442634284496307,0.06351777688259633,0.04594639731883515,11.0,0.10546875,1.0,False,magrabi_fl_finetuned,None
binrushed_fl_finetuned,magrabi_persite,0.9101500451564789,0.8543217778205872,0.939195156097412,0.9101206064224243,0.06351777688259633,0.1164714515102065,0.0,0.001953125,0.451171875,False,binrushed_fl_finetuned,None
